Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2007-01-01,00:00:00,0.622,0.125,239.3,2.55,0.07,0.12,0.46
2007-01-01,01:00:00,0.655,0.06,238.6,2.79,0.06,0.12,0.32
2007-01-01,02:00:00,0.356,0.083,237.3,1.22,0.03,0.01,0.22
2007-01-01,03:00:00,0.535,0.088,240.3,2.0,0.07,0.02,0.25
2007-01-01,04:00:00,0.49,0.09,240.0,1.83,0.05,0.05,0.42
2007-01-01,05:00:00,0.416,0.066,240.6,1.88,0.06,0.0,0.12
2007-01-01,06:00:00,1.736,0.267,238.6,7.49,0.2,0.2,0.9
2007-01-01,07:00:00,1.538,0.249,241.8,6.57,0.19,0.22,0.79
2007-01-01,08:00:00,1.649,0.225,238.6,6.88,0.19,0.26,0.99
2007-01-01,09:00:00,1.356,0.191,243.0,5.65,0.19,0.26,0.74
2007-01-01,10:00:00,1.543,0.233,232.1,6.81,0.23,0.23,0.97
2007-01-01,11:00:00,1.464,0.209,241.1,6.37,0.18,0.14,0.79
2007-01-01,12:00:00,1.278,0.194,238.4,5.46,0.14,0.23,0.73
2007-01-01,13:00:00,1.491,0.229,235.6,6.39,0.16,0.21,0.79
2007-01-01,14:00:00,1.251,0.184,239.0,5.07,0.14,0.13,0.65
2007-01-01,15:00:00,1.298,0.194,239.8,5.03,0.21,0.2,0.73
2007-01-01,16:00:00,1.257,0.211,239.9,5.01,0.22,0.18,0.72
2007-01-01,17:00:00,1.34,0.245,235.8,5.8,0.18,0.16,0.85
2007-01-01,18:00:00,2.256,0.317,235.3,9.6,0.25,0.34,1.2
2007-01-01,19:00:00,2.432,0.34,239.0,10.34,0.26,0.43,1.27
2007-01-01,20:00:00,2.402,0.336,240.8,10.13,0.33,0.3,1.34
2007-01-01,21:00:00,2.217,0.337,241.0,9.06,0.28,0.34,1.24
2007-01-01,22:00:00,1.41,0.192,236.4,6.1,0.15,0.29,0.81
2007-01-01,23:00:00,1.469,0.258,241.2,6.26,0.21,0.19,0.89
2007-01-02,00:00:00,0.533,0.085,239.8,2.29,0.04,0.04,0.23
2007-01-02,01:00:00,0.662,0.082,248.2,2.79,0.08,0.16,0.34
2007-01-02,02:00:00,0.434,0.048,241.4,1.78,0.07,0.06,0.3
2007-01-02,03:00:00,0.381,0.065,236.3,1.65,0.03,0.09,0.23
2007-01-02,04:00:00,0.456,0.09,241.1,2.01,0.06,0.07,0.16
2007-01-02,05:00:00,0.689,0.18,241.5,2.96,0.04,0.07,0.42
2007-01-02,06:00:00,1.819,0.257,239.1,7.76,0.25,0.31,1.05
2007-01-02,07:00:00,1.722,0.226,234.4,7.48,0.19,0.26,1.13
2007-01-02,08:00:00,1.693,0.239,237.9,7.26,0.24,0.26,0.85
2007-01-02,09:00:00,1.526,0.233,241.9,5.9,0.18,0.2,1.01
2007-01-02,10:00:00,1.421,0.189,241.5,6.06,0.2,0.18,0.77
2007-01-02,11:00:00,1.46,0.237,241.2,5.8,0.16,0.19,0.94
2007-01-02,12:00:00,1.63,0.253,243.8,6.54,0.23,0.18,0.86
2007-01-02,13:00:00,1.468,0.195,236.9,6.15,0.15,0.22,0.55
2007-01-02,14:00:00,1.446,0.24,244.3,5.63,0.13,0.2,0.81
2007-01-02,15:00:00,1.251,0.18,238.2,5.27,0.12,0.21,0.7
2007-01-02,16:00:00,1.264,0.187,246.4,4.74,0.17,0.25,0.6
2007-01-02,17:00:00,1.321,0.215,238.5,5.42,0.17,0.17,0.71
2007-01-02,18:00:00,2.418,0.346,242.4,10.1,0.27,0.4,1.35
2007-01-02,19:00:00,2.308,0.334,240.4,9.86,0.3,0.37,1.27
2007-01-02,20:00:00,2.441,0.392,242.5,10.23,0.29,0.36,1.43
2007-01-02,21:00:00,2.378,0.369,239.6,9.94,0.31,0.34,1.33
2007-01-02,22:00:00,1.277,0.204,243.5,5.4,0.22,0.15,0.61
2007-01-02,23:00:00,1.45,0.215,238.0,6.29,0.17,0.18,0.8
2007-01-03,00:00:00,0.463,0.074,237.5,2.0,0.05,0.09,0.21
